PRE1;PRE2;PRE3;PRE4;PRE5;PRE6;PRE7;PRE8;PRE9;PRE10;PRE11;PRE12;PRE13;PRE14;PRE15
2;2;4;1;2;2;4;1;3;1;4;2;3;1;1
1;1;2;2;1;3;2;3;2;4;3;3;2;2;2
2;1;2;2;2;3;2;3;2;1;3;2;1;2;3
2;2;3;1;2;3;4;2;3;2;2;3;1;2;4
4;2;3;3;3;3;3;3;2;1;2;3;1;4;2
2;2;3;2;2;2;3;2;2;1;3;3;3;2;3
2;2;4;1;2;3;4;2;4;2;4;3;1;1;3
3;3;4;2;3;3;4;3;4;1;1;4;2;3;4
2;1;2;1;1;3;3;2;2;1;4;1;2;1;2
3;2;3;2;2;3;2;2;2;2;3;3;2;2;2
2;2;2;1;2;3;1;2;2;3;3;2;3;2;4
2;2;2;1;2;1;3;2;2;2;3;3;2;1;4
2;1;2;1;1;2;4;3;2;3;3;2;1;1;3
3;2;3;2;2;1;1;1;2;3;3;3;3;2;4
3;2;1;2;3;1;3;2;4;2;3;1;1;1;4
2;1;2;1;2;3;1;2;3;4;4;2;2;1;2
4;4;3;1;2;3;4;2;3;1;2;3;1;1;3
2;2;2;3;2;2;1;1;3;3;4;3;1;1;2
3;1;2;1;2;3;2;2;2;2;4;2;1;1;3
3;3;2;2;3;3;3;3;3;4;2;3;3;3;4
3;2;3;2;4;2;2;3;2;2;3;4;1;3;4
3;1;3;1;1;4;3;1;3;3;3;1;1;1;1
