Item_1;Item_2;Item_3;Item_4;Item_5;Item_6;Item_7;Item_8;Item_9;Item_10;Item_11;Item_12;Item_13;Item_14;Item_15;Item_16;Item_17;Item_18;Item_19;Item_20
2;0;2;1;2;1;0;1;0;2;1;0;2;0;1;2;0;0;1;2
1;2;2;3;3;1;0;1;3;1;2;3;0;1;1;1;0;3;0;1
2;2;0;1;1;3;2;1;2;1;2;2;0;0;1;1;1;2;1;2
2;1;0;0;2;1;2;1;0;2;1;1;2;0;0;2;0;2;1;1
2;1;1;0;2;1;1;0;1;2;0;0;3;0;1;2;1;1;0;1
2;1;1;0;2;3;1;0;2;3;0;1;2;1;0;3;2;2;2;2
3;1;1;1;1;2;2;0;2;3;0;1;2;0;1;3;2;1;2;2
2;1;1;1;2;1;0;1;1;2;1;0;3;0;1;2;1;0;0;1
2;1;1;0;2;1;1;0;1;2;1;1;2;0;1;2;0;0;0;1
3;1;0;2;2;1;2;0;2;2;0;1;2;0;0;2;1;1;0;1
3;1;1;2;0;1;2;1;2;2;2;2;1;1;1;2;2;1;3;3
2;1;1;1;2;2;2;1;2;1;1;1;1;0;1;1;2;2;1;2
3;0;0;0;2;2;1;0;1;3;0;0;2;0;0;3;1;0;0;0
2;2;1;1;0;2;2;0;2;2;0;1;2;1;1;2;0;0;2;1
1;2;2;1;2;2;0;1;1;2;1;1;1;2;1;1;1;1;3;2
2;1;0;1;1;1;0;0;2;2;1;1;2;0;1;2;0;2;0;2
2;0;3;1;3;3;2;0;3;1;1;3;1;2;2;1;1;2;2;2
3;1;1;1;3;1;1;0;1;3;1;3;1;3;1;2;1;1;0;2
3;1;1;0;1;1;1;0;1;3;0;0;3;1;0;3;0;0;2;1
3;1;0;1;1;1;0;0;0;3;1;1;2;0;0;3;0;0;1;1
2;1;0;1;2;1;1;1;1;1;1;0;2;1;0;2;0;1;3;1
2;1;0;2;1;1;0;0;1;2;1;1;2;0;1;2;0;3;1;3
3;1;0;1;1;1;2;1;1;2;2;1;2;1;1;3;2;2;0;2
3;1;0;1;3;3;2;2;3;2;3;3;1;1;0;2;1;2;2;2
3;1;1;1;2;1;1;0;1;3;2;2;1;1;0;2;0;1;0;2
2;1;0;0;1;3;1;0;1;2;0;0;2;0;0;2;1;0;1;0
1;1;2;2;1;2;2;1;1;1;2;2;1;1;1;1;1;1;3;1
2;1;1;3;2;1;1;1;2;2;2;1;2;0;1;3;2;2;1;2
2;1;1;0;0;1;1;1;1;3;1;1;2;1;1;2;0;1;1;2
1;2;0;1;3;2;1;1;1;1;2;2;1;2;1;2;1;2;3;1
3;1;0;1;1;1;1;1;1;2;2;1;2;0;0;2;0;1;1;1
3;0;0;0;0;0;1;0;2;3;0;0;3;0;0;3;2;0;0;2
3;1;0;1;3;2;0;1;0;2;1;1;2;0;0;2;1;1;1;1
3;1;0;0;2;1;0;0;0;3;1;2;2;1;0;3;0;0;1;1
2;1;2;2;1;3;0;0;2;2;1;1;1;0;1;2;2;2;0;3
3;1;2;1;0;1;1;2;2;3;1;1;2;0;0;2;1;2;0;2
2;1;0;1;1;3;1;0;0;3;0;0;3;0;0;3;1;1;0;1
2;2;1;1;3;0;1;1;1;2;1;1;2;0;1;2;1;2;1;3
2;1;1;1;1;1;2;3;3;2;3;3;0;3;1;2;1;2;2;3
3;1;0;1;2;1;1;0;1;3;1;1;1;2;1;2;2;1;2;2
2;2;2;3;2;2;2;2;3;1;3;2;1;2;2;1;2;2;0;3
2;0;0;1;2;1;1;1;0;3;0;0;2;0;0;2;0;1;1;2
3;1;0;0;2;1;0;1;1;3;1;1;1;0;0;3;1;2;0;2
2;1;1;0;2;2;1;1;0;2;1;1;1;0;1;2;1;1;2;2
1;2;1;1;2;2;2;1;2;1;2;1;1;2;1;1;2;2;3;2
2;1;1;0;2;1;1;0;1;2;1;0;2;1;0;2;1;1;1;2
2;0;1;1;2;1;1;1;1;2;1;1;2;0;1;1;0;2;0;2
3;2;1;0;1;1;0;2;1;3;1;1;3;0;0;3;0;0;1;1
2;0;0;1;1;2;0;1;0;2;1;1;2;0;1;2;0;0;1;1
3;0;0;1;2;2;1;0;1;3;0;0;1;1;0;3;1;1;1;1
2;1;1;1;1;1;1;0;1;2;1;1;2;1;1;2;0;0;2;1
2;1;0;1;1;1;1;1;0;1;1;2;1;2;1;2;0;1;2;1
2;1;1;0;1;1;1;1;1;2;1;1;2;0;0;2;1;2;2;2
2;1;1;1;2;1;1;2;2;2;1;0;2;0;1;2;1;1;3;2
2;1;1;0;2;2;2;0;0;2;0;0;2;2;1;2;2;2;1;2
2;1;0;0;0;2;2;1;2;1;1;1;2;2;1;2;1;2;2;2
2;1;1;1;2;2;1;1;1;2;1;1;2;2;0;2;1;1;1;2
2;1;1;0;2;2;1;1;1;2;1;1;2;0;1;2;1;0;1;1
1;1;2;2;1;2;3;1;1;1;1;2;1;1;1;2;1;2;1;2
1;2;2;1;1;1;2;1;2;1;1;0;2;2;1;0;2;3;3;1
3;1;1;0;2;1;1;1;2;2;2;1;1;1;1;3;1;1;0;1
2;1;0;1;0;2;1;1;1;2;0;1;2;0;0;2;0;0;0;2
3;0;0;1;2;1;3;1;2;3;3;1;2;0;0;3;1;0;1;1
3;1;0;0;1;1;1;0;0;3;1;1;2;1;0;3;1;0;0;1
3;1;0;1;3;1;0;1;1;2;1;1;3;1;0;2;1;0;2;1
1;1;2;0;1;2;0;2;3;0;1;2;2;2;2;0;0;3;2;3
2;1;0;1;1;2;2;0;1;2;1;1;1;0;1;2;0;0;0;1
2;2;0;0;2;2;1;0;2;2;2;1;1;2;1;2;3;1;2;0
1;3;0;2;2;2;0;1;1;1;1;1;3;2;2;2;1;1;2;3
1;2;1;3;1;3;1;2;2;1;2;0;1;1;1;1;2;3;0;2
2;2;1;1;0;2;1;1;1;2;1;1;2;1;1;2;0;2;2;1
1;2;1;2;1;2;1;1;2;0;2;1;1;0;2;1;2;1;3;1
2;0;0;1;2;1;1;0;0;2;0;1;2;1;0;2;0;1;1;1
2;0;0;1;1;1;0;1;1;2;0;1;2;3;0;1;1;0;1;1
2;1;0;1;3;1;1;1;1;1;1;1;2;0;1;1;0;1;2;1
2;1;1;0;2;1;1;0;1;2;1;0;2;1;0;2;1;1;1;2
2;0;1;1;3;1;1;1;1;2;1;1;2;0;1;1;0;2;0;2
3;2;1;0;3;1;0;2;1;3;1;1;3;0;0;3;0;0;1;1
2;1;0;0;2;2;2;1;2;1;1;1;2;2;1;2;1;2;2;2
