Partecipante;Eta;Istruzione; Performance
1;30;Elementare;70
2;45;Media;80
3;55;Laurea;90
4;40;Media;75
5;65;Laurea;95
6;50;Elementare;68
7;35;Laurea;88
8;60;Media;82
9;42;Elementare;72
10;52;Laurea;92
11;38;Media;77
12;58;Elementare;65
13;33;Laurea;85
14;48;Media;78
15;62;Laurea;93
16;47;Elementare;67
17;29;Media;76
18;51;Laurea;91
19;39;Elementare;71
20;56;Laurea;94
21;43;Media;79
22;63;Elementare;66
23;36;Laurea;87
24;49;Media;83
25;67;Laurea;96
26;44;Elementare;69
27;31;Media;74
28;53;Laurea;89
29;41;Elementare;73
30;57;Laurea;97
31;37;Media;81
32;64;Elementare;64
33;32;Laurea;84
34;46;Media;77
35;61;Laurea;92
36;50;Elementare;68
37;28;Media;75
38;54;Laurea;90
39;40;Elementare;70
40;55;Laurea;95
41;42;Media;76
42;59;Elementare;67
43;34;Laurea;86
44;48;Media;80
45;63;Laurea;93
46;47;Elementare;66
47;30;Media;73
48;52;Laurea;89
49;39;Elementare;71
50;58;Laurea;94
51;45;Media;78
52;65;Elementare;65
53;33;Laurea;85
54;49;Media;82
55;62;Laurea;96
56;46;Elementare;69
57;29;Media;74
58;53;Laurea;90
59;41;Elementare;72
60;57;Laurea;97
61;38;Media;79
62;64;Elementare;64
63;31;Laurea;83
64;51;Media;77
65;60;Laurea;92
66;43;Elementare;68
67;28;Media;75
68;54;Laurea;89
69;40;Elementare;70
70;55;Laurea;95
71;42;Media;76
72;59;Elementare;67
73;34;Laurea;86
74;48;Media;80
75;63;Laurea;93
76;47;Elementare;66
77;30;Media;73
78;52;Laurea;89
79;39;Elementare;71
80;58;Laurea;94
81;45;Media;78
82;65;Elementare;65
83;33;Laurea;85
84;49;Media;82
85;62;Laurea;96
86;46;Elementare;69
87;29;Media;74
88;53;Laurea;90
89;41;Elementare;72
90;57;Laurea;97
