 Durata_Sonno; Benessere_Psicologico; Stress
7;8;5
6;7;3
8;6;7
5;9;2
6;7;4
7;6;6
8;5;8
7;8;5
6;7;3
8;6;7
5;9;2
6;7;4
7;6;6
8;5;8
7;8;5
6;7;3
8;6;7
5;9;2
6;7;4
7;6;6
8;5;8
7;8;5
6;7;3
8;6;7
5;9;2
6;7;4
7;6;6
8;5;8
7;8;5
6;7;3
8;6;7
5;9;2
6;7;4
7;6;6
8;5;8
7;8;5
6;7;3
8;6;7
5;9;2
6;7;4
7;6;6
8;5;8
7;8;5
6;7;3
8;6;7
5;9;2
6;7;4
7;6;6
8;5;8
7;8;5
6;7;3
8;6;7
5;9;2
6;7;4
7;6;6
8;5;8
7;8;5
6;7;3
8;6;7
5;9;2
6;7;4
7;6;6
8;5;8
7;8;5
6;7;3
8;6;7
5;9;2
6;7;4
7;6;6
8;5;8
7;8;5
6;7;3
8;6;7
5;9;2
6;7;4
7;6;6
8;5;8
7;8;5
6;7;3
8;6;7
5;9;2
6;7;4
7;6;6
8;5;8
7;8;5
6;7;3
8;6;7
5;9;2
6;7;4
7;6;6
