Eta;Pratica;ML
22;Bassa ;78
29;Alta ;85
35;Alta ;91
41;Bassa ;73
27;Bassa ;70
34;Alta ;89
46;Bassa ;76
31;Bassa ;74
39;Alta ;88
25;Alta ;92
37;Bassa ;79
42;Alta ;86
28;Bassa ;77
33;Bassa ;75
38;Alta ;90
24;Alta ;93
44;Bassa ;80
30;Bassa ;72
36;Alta ;87
43;Bassa ;71
26;Bassa ;69
32;Alta ;88
40;Bassa ;78
23;Bassa ;76
29;Alta ;90
35;Bassa ;71
41;Alta ;87
27;Bassa ;68
34;Bassa ;72
46;Alta ;89
31;Alta ;92
39;Bassa ;79
25;Bassa ;75
37;Alta ;88
42;Alta ;93
28;Bassa ;77
33;Bassa ;73
38;Alta ;91
24;Alta ;94
44;Bassa ;80
30;Bassa ;71
36;Alta ;86
43;Bassa ;70
26;Bassa ;68
32;Alta ;87
40;Bassa ;78
23;Bassa ;75
29;Alta ;89
35;Bassa ;70
41;Alta ;86
27;Bassa ;67
34;Bassa ;72
46;Alta ;88
31;Alta ;91
39;Bassa ;77
25;Bassa ;74
37;Alta ;87
42;Alta ;92
28;Bassa ;76
33;Bassa ;71
38;Alta ;90
24;Alta ;93
44;Bassa ;79
30;Bassa ;70
36;Alta ;85
43;Bassa ;69
26;Bassa ;67
32;Alta ;88
40;Bassa ;77
23;Bassa ;74
29;Alta ;88
35;Bassa ;69
41;Alta ;85
27;Bassa ;66
34;Bassa ;70
46;Alta ;87
31;Alta ;90
39;Bassa ;76
25;Bassa ;73
37;Alta ;86
42;Alta ;91
28;Bassa ;75
33;Bassa ;69
38;Alta ;89
24;Alta ;92
44;Bassa ;78
30;Bassa ;70
36;Alta ;85
43;Bassa ;68
26;Bassa ;66
32;Alta ;87
40;Bassa ;76
23;Bassa ;73
29;Alta ;87
35;Bassa ;68
41;Alta ;84
27;Bassa ;65
34;Bassa ;69
46;Alta ;86
31;Alta ;89
39;Bassa ;75
25;Bassa ;72
37;Alta ;85
42;Alta ;90
28;Bassa ;74
33;Bassa ;68
38;Alta ;88
24;Alta ;91
44;Bassa ;77
30;Bassa ;69
36;Alta ;84
43;Bassa ;67
