Genere;Supporto_Sociale;Relazione_Sociale;Benessere_Psicologico
Maschio;7;Partner_Romantico;75
Femmina;9;Famiglia;82
Maschio;6;Amici;68
Femmina;8;Famiglia;79
Maschio;5;Amici;72
Femmina;7;Partner_Romantico;78
Maschio;6;Amici;67
Femmina;8;Famiglia;81
Maschio;6;Partner_Romantico;76
Femmina;9;Famiglia;83
Maschio;7;Amici;69
Femmina;8;Partner_Romantico;80
Maschio;6;Amici;68
Femmina;7;Famiglia;77
Maschio;5;Amici;71
Femmina;7;Partner_Romantico;79
Maschio;6;Amici;67
Femmina;8;Famiglia;82
Maschio;7;Partner_Romantico;75
Femmina;9;Famiglia;84
Maschio;6;Amici;68
Femmina;8;Partner_Romantico;80
Maschio;6;Amici;69
Femmina;7;Famiglia;77
Maschio;5;Amici;71
Femmina;7;Partner_Romantico;78
Maschio;6;Amici;68
Femmina;8;Famiglia;81
Maschio;6;Partner_Romantico;76
Femmina;9;Famiglia;83
Maschio;7;Amici;69
Femmina;8;Partner_Romantico;79
Maschio;6;Amici;68
Femmina;7;Famiglia;77
Maschio;5;Amici;71
Femmina;7;Partner_Romantico;79
Maschio;6;Amici;68
Femmina;8;Famiglia;82
Maschio;7;Partner_Romantico;75
Femmina;9;Famiglia;84
Maschio;6;Amici;68
Femmina;8;Partner_Romantico;80
Maschio;6;Amici;69
Femmina;7;Famiglia;78
Maschio;5;Amici;71
Femmina;7;Partner_Romantico;78
Maschio;6;Amici;68
Femmina;8;Famiglia;81
Maschio;6;Partner_Romantico;76
Femmina;9;Famiglia;83
Maschio;7;Amici;69
Femmina;8;Partner_Romantico;79
Maschio;6;Amici;68
Femmina;7;Famiglia;77
Maschio;5;Amici;70
Femmina;7;Partner_Romantico;79
Maschio;6;Amici;68
Femmina;8;Famiglia;82
Maschio;6;Partner_Romantico;76
Femmina;9;Famiglia;83
Maschio;6;Amici;68
Femmina;8;Partner_Romantico;80
Maschio;6;Amici;69
Femmina;7;Famiglia;78
Maschio;5;Amici;71
Femmina;7;Partner_Romantico;78
Maschio;6;Amici;68
Femmina;8;Famiglia;81
Maschio;6;Partner_Romantico;76
Femmina;9;Famiglia;83
Maschio;7;Amici;69
Femmina;8;Partner_Romantico;80
Maschio;6;Amici;68
Femmina;7;Famiglia;77
Maschio;5;Amici;70
Femmina;7;Partner_Romantico;79
Maschio;6;Amici;68
Femmina;8;Famiglia;82
Maschio;6;Partner_Romantico;76
Femmina;9;Famiglia;83
Maschio;6;Amici;68
Femmina;8;Partner_Romantico;80
Maschio;6;Amici;69
Femmina;7;Famiglia;78
Maschio;5;Amici;71
Femmina;7;Partner_Romantico;78
Maschio;6;Amici;68
Femmina;8;Famiglia;81
Maschio;6;Partner_Romantico;76
Femmina;9;Famiglia;83
Maschio;7;Amici;69
Femmina;8;Partner_Romantico;80
Maschio;6;Amici;68
Femmina;7;Famiglia;77
Maschio;5;Amici;70
Femmina;7;Partner_Romantico;79
Maschio;6;Amici;68
Femmina;8;Famiglia;82
Maschio;6;Partner_Romantico;76
Femmina;9;Famiglia;83
Maschio;6;Amici;68
Femmina;8;Partner_Romantico;80
Maschio;6;Amici;69
Femmina;7;Famiglia;78
Maschio;5;Amici;71
Femmina;7;Partner_Romantico;78
Maschio;6;Amici;68
Femmina;8;Famiglia;81
Maschio;6;Partner_Romantico;76
Femmina;9;Famiglia;83
Maschio;7;Amici;69
Femmina;8;Partner_Romantico;80
Maschio;6;Amici;68
Femmina;7;Famiglia;77
Maschio;5;Amici;70
Femmina;7;Partner_Romantico;79
Maschio;6;Amici;68
Femmina;8;Famiglia;82
Maschio;6;Partner_Romantico;76
Femmina;9;Famiglia;83
Maschio;6;Amici;68
Femmina;8;Partner_Romantico;80
Maschio;6;Amici;69
Femmina;7;Famiglia;78
Maschio;5;Amici;71
Femmina;7;Partner_Romantico;78
Maschio;6;Amici;68
Femmina;8;Famiglia;81
Maschio;6;Partner_Romantico;76
Femmina;9;Famiglia;83
Maschio;7;Amici;69
Femmina;8;Partner_Romantico;80
Maschio;6;Amici;68
Femmina;7;Famiglia;77
Maschio;5;Amici;70
Femmina;7;Partner_Romantico;79
Maschio;6;Amici;68
Femmina;8;Famiglia;82
Maschio;6;Partner_Romantico;76
Femmina;9;Famiglia;83
