 Intervention_Type; Memory_Capacity
CST;85
MRT;72
CT;78
CG;65
CST;90
MRT;65
CT;70
CG;60
CST;88
MRT;68
CT;74
CG;63
CST;87
MRT;71
CT;76
CG;61
CST;91
MRT;74
CT;82
CG;59
CST;88
MRT;67
CT;79
CG;62
CST;83
MRT;76
CT;84
CG;64
CST;90
MRT;65
CST;86
MRT;73
CT;77
CG;68
CST;89
MRT;66
CT;71
CG;59
CST;85
MRT;69
CT;75
CG;62
CST;84
MRT;70
CT;78
CG;61
CST;90
MRT;75
CT;81
CG;58
CST;87
MRT;68
CT;76
CG;63
CST;82
MRT;75
CT;83
CG;60
CST;89
MRT;67
CT;74
CG;59
CST;88
MRT;72
CT;79
CG;64
CST;91
MRT;76
CT;85
CG;61
CST;86
MRT;74
CT;82
CG;60
CST;83
MRT;70
CT;78
CG;62
CST;90
MRT;75
CT;84
CG;63
CST;87
MRT;71
CT;80
CG;59
CST;85
MRT;68
CT;77
CG;61
