Leadership;Soddisfazione
 Autocratica;7
 Democratica;9
 Trasformazionale;8
 Democratica;6
 Trasformazionale;9
 Autocratica;5
 Autocratica;6
 Democratica;8
 Trasformazionale;9
 Democratica;7
 Autocratica;4
 Democratica;8
 Trasformazionale;9
 Autocratica;6
 Democratica;7
 Trasformazionale;8
 Democratica;9
 Autocratica;7
 Democratica;6
 Trasformazionale;9
 Democratica;8
 Autocratica;5
 Democratica;6
 Trasformazionale;8
 Democratica;9
 Autocratica;7
 Democratica;5
 Trasformazionale;9
 Democratica;8
 Autocratica;6
 Autocratica;7
 Democratica;9
 Trasformazionale;8
 Democratica;6
 Trasformazionale;9
 Autocratica;5
 Autocratica;6
 Democratica;8
 Trasformazionale;9
 Democratica;7
 Autocratica;4
 Democratica;8
 Trasformazionale;9
 Autocratica;6
 Democratica;7
 Trasformazionale;8
 Democratica;9
 Autocratica;7
 Democratica;6
 Trasformazionale;9
 Democratica;8
 Autocratica;5
 Democratica;6
 Trasformazionale;8
 Democratica;9
 Autocratica;7
 Democratica;5
 Trasformazionale;9
 Democratica;8
 Autocratica;6
 Autocratica;7
 Democratica;9
 Trasformazionale;8
 Democratica;6
 Trasformazionale;9
 Autocratica;5
 Autocratica;6
 Democratica;8
 Trasformazionale;9
 Democratica;7
 Autocratica;4
 Democratica;8
 Trasformazionale;9
 Autocratica;6
 Democratica;7
 Trasformazionale;8
 Democratica;9
 Autocratica;7
 Democratica;6
 Trasformazionale;9
 Democratica;8
 Autocratica;5
 Democratica;6
 Trasformazionale;8
 Democratica;9
 Autocratica;7
 Democratica;5
 Trasformazionale;9
 Democratica;8
 Autocratica;6
