Atleta;Coaching; Performance
1;Diretto;75
2;Motivazionale;82
3;Supporto;69
4;Diretto;88
5;Supporto;78
6;Diretto;80
7;Diretto;79
8;Motivazionale;86
9;Supporto;72
10;Motivazionale;91
11;Diretto;77
12;Supporto;81
13;Diretto;84
14;Motivazionale;89
15;Supporto;76
16;Motivazionale;85
17;Supporto;73
18;Diretto;76
19;Diretto;79
20;Supporto;77
21;Motivazionale;88
22;Diretto;81
23;Supporto;70
24;Diretto;82
25;Motivazionale;89
26;Supporto;75
27;Motivazionale;84
28;Supporto;72
29;Diretto;77
30;Diretto;78
31;Supporto;75
32;Motivazionale;87
33;Diretto;79
34;Supporto;68
35;Diretto;84
36;Motivazionale;90
37;Supporto;76
38;Motivazionale;83
39;Supporto;71
40;Diretto;75
41;Diretto;76
42;Supporto;74
43;Motivazionale;86
44;Diretto;80
45;Supporto;69
46;Diretto;85
47;Motivazionale;88
48;Supporto;77
49;Motivazionale;82
50;Supporto;73
51;Diretto;78
52;Diretto;80
53;Supporto;76
54;Motivazionale;85
55;Diretto;82
56;Supporto;70
57;Diretto;86
58;Motivazionale;89
59;Supporto;75
60;Motivazionale;84
61;Supporto;72
62;Diretto;77
63;Diretto;79
64;Supporto;76
65;Motivazionale;87
66;Diretto;81
67;Supporto;70
68;Diretto;82
69;Motivazionale;89
70;Supporto;75
71;Motivazionale;83
72;Supporto;71
73;Diretto;75
74;Diretto;76
75;Supporto;74
76;Motivazionale;86
77;Diretto;80
78;Supporto;69
79;Diretto;85
80;Motivazionale;88
81;Supporto;77
82;Motivazionale;82
83;Supporto;73
84;Diretto;78
85;Diretto;80
86;Supporto;76
87;Motivazionale;85
88;Diretto;82
89;Supporto;70
90;Diretto;86
91;Motivazionale;89
92;Supporto;75
93;Motivazionale;84
94;Supporto;72
95;Diretto;77
96;Diretto;79
97;Supporto;76
98;Motivazionale;87
99;Diretto;81
100;Supporto;70
101;Diretto;82
102;Motivazionale;89
103;Supporto;75
104;Motivazionale;83
105;Supporto;71
106;Diretto;75
107;Diretto;76
108;Supporto;74
109;Motivazionale;86
110;Diretto;80
111;Supporto;69
112;Diretto;85
113;Motivazionale;88
114;Supporto;77
115;Motivazionale;82
116;Supporto;73
117;Diretto;78
118;Diretto;80
119;Supporto;76
120;Motivazionale;85
121;Diretto;82
122;Supporto;70
123;Diretto;86
124;Motivazionale;89
125;Supporto;75
126;Motivazionale;84
127;Supporto;72
128;Diretto;77
129;Diretto;79
130;Supporto;76
131;Motivazionale;87
132;Diretto;81
133;Supporto;70
134;Diretto;82
135;Motivazionale;89
136;Supporto;75
137;Motivazionale;83
138;Supporto;71
139;Diretto;75
140;Diretto;76
141;Supporto;74
142;Motivazionale;86
143;Diretto;80
144;Supporto;69
145;Diretto;85
146;Motivazionale;88
147;Supporto;77
148;Motivazionale;82
149;Supporto;73
150;Diretto;78
151;Diretto;80
152;Supporto;76
153;Motivazionale;85
154;Diretto;82
155;Supporto;70
156;Diretto;86
157;Motivazionale;89
158;Supporto;75
159;Motivazionale;84
160;Supporto;72
161;Diretto;77
162;Diretto;79
163;Supporto;76
164;Motivazionale;87
165;Diretto;81
166;Supporto;70
167;Diretto;82
168;Motivazionale;89
169;Supporto;75
170;Motivazionale;83
171;Supporto;71
172;Diretto;75
173;Diretto;76
174;Supporto;74
175;Motivazionale;86
176;Diretto;80
177;Supporto;69
178;Diretto;85
179;Motivazionale;88
180;Supporto;77
181;Motivazionale;82
182;Supporto;73
183;Diretto;78
184;Diretto;80
185;Supporto;76
186;Motivazionale;85
187;Diretto;82
188;Supporto;70
189;Diretto;86
190;Motivazionale;89
191;Supporto;75
192;Motivazionale;84
193;Supporto;72
194;Diretto;77
195;Diretto;79
196;Supporto;76
197;Motivazionale;87
198;Diretto;81
199;Supporto;70
200;Diretto;82
201;Motivazionale;89
202;Supporto;75
203;Motivazionale;83
204;Supporto;71
205;Diretto;75
206;Diretto;76
207;Supporto;74
208;Motivazionale;86
209;Diretto;80
210;Supporto;69
211;Diretto;85
212;Motivazionale;88
213;Supporto;77
214;Motivazionale;82
215;Supporto;73
216;Diretto;78
217;Diretto;80
218;Supporto;76
219;Motivazionale;85
220;Diretto;82
221;Supporto;70
222;Diretto;86
223;Motivazionale;89
224;Supporto;75
225;Motivazionale;84
226;Supporto;72
227;Diretto;77
228;Diretto;79
229;Supporto;76
230;Motivazionale;87
231;Diretto;81
232;Supporto;70
233;Diretto;82
234;Motivazionale;89
235;Supporto;75
236;Motivazionale;83
237;Supporto;71
238;Diretto;75
239;Diretto;76
240;Supporto;74
241;Motivazionale;86
242;Diretto;80
243;Supporto;69
244;Diretto;85
245;Motivazionale;88
246;Supporto;77
247;Motivazionale;82
248;Supporto;73
249;Diretto;78
250;Diretto;80
251;Supporto;76
252;Motivazionale;85
253;Diretto;82
254;Supporto;70
255;Diretto;86
256;Motivazionale;89
257;Supporto;75
258;Motivazionale;84
259;Supporto;72
260;Diretto;77
261;Diretto;79
262;Supporto;76
263;Motivazionale;87
264;Diretto;81
265;Supporto;70
266;Diretto;82
267;Motivazionale;89
268;Supporto;75
269;Motivazionale;83
270;Supporto;71
271;Diretto;75
272;Diretto;76
273;Supporto;74
274;Motivazionale;86
275;Diretto;80
276;Supporto;69
277;Diretto;85
278;Motivazionale;88
279;Supporto;77
280;Motivazionale;82
281;Supporto;73
282;Diretto;78
283;Diretto;80
284;Supporto;76
285;Motivazionale;85
286;Diretto;82
287;Supporto;70
288;Diretto;86
289;Motivazionale;89
290;Supporto;75
291;Motivazionale;84
292;Supporto;72
293;Diretto;77
294;Diretto;79
295;Supporto;76
296;Motivazionale;87
297;Diretto;81
298;Supporto;70
299;Diretto;82
300;Motivazionale;89
301;Supporto;75
302;Motivazionale;83
303;Supporto;71
304;Diretto;75
305;Diretto;76
306;Supporto;74
307;Motivazionale;86
308;Diretto;80
309;Supporto;69
310;Diretto;85
311;Motivazionale;88
312;Supporto;77
313;Motivazionale;82
314;Supporto;73
315;Diretto;78
316;Diretto;80
317;Supporto;76
318;Motivazionale;85
319;Diretto;82
320;Supporto;70
321;Diretto;86
322;Motivazionale;89
323;Supporto;75
324;Motivazionale;84
325;Supporto;72
326;Diretto;77
327;Diretto;79
328;Supporto;76
329;Motivazionale;87
330;Diretto;81
331;Supporto;70
332;Diretto;82
333;Motivazionale;89
334;Supporto;75
335;Motivazionale;83
336;Supporto;71
337;Diretto;75
338;Diretto;76
339;Supporto;74
340;Motivazionale;86
341;Diretto;80
342;Supporto;69
343;Diretto;85
344;Motivazionale;88
345;Supporto;77
346;Motivazionale;82
347;Supporto;73
348;Diretto;78
